SC1.EMInert.X             SC1.EMInert.Y             SC1.EMInert.Z             SC1.UTCModJulian          
319483.7569564864         -160596.5137833025        -166167.0211738699        57727                     
319483.7570047691         -160596.5137214191        -166167.0211408474        57727.00000000116         
319483.7570530517         -160596.5136595356        -166167.0211078249        57727.00000000231         
319483.7571013343         -160596.5135976522        -166167.0210748025        57727.00000000347         
319483.757149617          -160596.5135357688        -166167.0210417799        57727.00000000463         
319483.7571978996         -160596.5134738854        -166167.0210087574        57727.00000000578         
319483.7572461822         -160596.513412002         -166167.0209757348        57727.00000000694         
319483.7572944607         -160596.5133501239        -166167.0209427151        57727.00000000811         
319483.7573427433         -160596.5132882405        -166167.0209096926        57727.00000000926         
319483.757391026          -160596.5132263571        -166167.0208766701        57727.00000001042         
319483.7574393087         -160596.5131644737        -166167.0208436475        57727.00000001158         
319483.7574875913         -160596.5131025903        -166167.020810625         57727.00000001273         
319483.757535874          -160596.5130407069        -166167.0207776024        57727.00000001389         
319483.7575841566         -160596.5129788234        -166167.0207445799        57727.00000001505         
319483.7576324393         -160596.51291694          -166167.0207115574        57727.0000000162          
319483.757680722          -160596.5128550566        -166167.0206785348        57727.00000001736         
319483.7577290047         -160596.5127931732        -166167.0206455123        57727.00000001852         
319483.7577772873         -160596.5127312898        -166167.0206124897        57727.00000001967         
319483.7578255699         -160596.5126694064        -166167.0205794672        57727.00000002083         
319483.7578738526         -160596.5126075229        -166167.0205464446        57727.00000002199         
319483.7579221353         -160596.5125456395        -166167.0205134221        57727.00000002314         
319483.7579704137         -160596.5124837615        -166167.0204804024        57727.00000002431         
319483.7580186964         -160596.5124218781        -166167.0204473799        57727.00000002547         
319483.758066979          -160596.5123599946        -166167.0204143573        57727.00000002662         
319483.7581152617         -160596.5122981112        -166167.0203813348        57727.00000002778         
319483.7581635443         -160596.5122362278        -166167.0203483122        57727.00000002894         
319483.758211827          -160596.5121743444        -166167.0203152897        57727.00000003009         
319483.7582601097         -160596.512112461         -166167.0202822672        57727.00000003125         
319483.7583083924         -160596.5120505776        -166167.0202492446        57727.00000003241         
319483.758356675          -160596.5119886941        -166167.0202162221        57727.00000003356         
319483.7584049577         -160596.5119268107        -166167.0201831995        57727.00000003472         
319483.7584532403         -160596.5118649273        -166167.020150177         57727.00000003588         
319483.758501523          -160596.5118030439        -166167.0201171544        57727.00000003703         
319483.7585498057         -160596.5117411605        -166167.0200841319        57727.00000003819         
319483.7585980883         -160596.5116792771        -166167.0200511093        57727.00000003935         
319483.7586463668         -160596.511617399         -166167.0200180897        57727.00000004051         
319483.7586946494         -160596.5115555156        -166167.0199850671        57727.00000004167         
319483.7587429321         -160596.5114936322        -166167.0199520446        57727.00000004283         
