Luna.EMBaryRot.X          Luna.EMBaryRot.Y          Luna.EMBaryRot.Z          Luna.UTCModJulian         
400730.1610641142         3915.481001389955         -1.455191522836685e-11    57727                     
400730.7239134078         3913.109174702578         1.455191522836685e-11     57727.00069444445         
400731.4419376362         3910.080844361524         1.455191522836685e-11     57727.00158095954         
400732.2398615625         3906.712099506469         0                         57727.00256693504         
400733.131189996          3902.944729286763         0                         57727.00366934125         
400734.1270151082         3898.730322660449         -1.455191522836685e-11    57727.00490225861         
400735.2399093275         3894.013752539904         -1.455191522836685e-11    57727.00628170704         
400736.4840596517         3888.7324765046           -1.455191522836685e-11    57727.00782584328         
400737.875321531          3882.81614511431          -1.455191522836685e-11    57727.0095550663          
400739.4315273847         3876.185085394187         0                         57727.01149244919         
400741.172652123          3868.749333206346         -1.455191522836685e-11    57727.01366400735         
400743.1194590846         3860.414110959544         0                         57727.01609708191         
400745.291443532          3851.088357318673         0                         57727.01881783475         
400747.7140514622         3840.653360867742         0                         57727.02186037917         
400750.4157448105         3828.974653660007         0                         57727.02526327121         
400753.428131228          3815.90067688714          0                         57727.0290698563          
400756.7862440362         3801.260596962042         1.455191522836685e-11     57727.03332885278         
400760.5287155767         3784.862328483505         0                         57727.03809486121         
400764.6983395524         3766.488524462249         1.455191522836685e-11     57727.04342944722         
400769.3422997072         3745.893587184422         -1.455191522836685e-11    57727.04940190409         
400774.512230219          3722.800901026145         0                         57727.05608992357         
400780.2650917982         3696.895734454003         -1.455191522836685e-11    57727.06358148542         
400786.6627966552         3667.822821534974         0                         57727.07197534459         
400793.7725699804         3635.179546047722         0                         57727.08138273487         
400801.6672954083         3598.507671806146         1.455191522836685e-11     57727.0919294153          
400810.4251256117         3557.286527790267         0                         57727.10375720179         
400820.1291021022         3510.923748961344         1.455191522836685e-11     57727.11702608432         
400830.8676194229         3458.738645106598         1.455191522836685e-11     57727.13191829616         
400842.7315840578         3399.957169571346         0                         57727.14863886626         
400855.8133050083         3333.693351690934         0                         57727.16741980072         
400870.2041038324         3258.929616314585         0                         57727.18852424799         
400885.9914997519         3174.489212899716         0                         57727.21225246596         
400903.2508937628         3079.024940386618         1.455191522836685e-11     57727.23894267996         
400922.0399070679         2970.977528072173         0                         57727.26897982787         
400940.8702813438         2857.879317716492         -2.91038304567337e-11     57727.30022982787         
400958.9649547963         2744.079442176364         0                         57727.33147982787         
400976.3196719499         2629.577989763988         0                         57727.36272982787         
400992.9301735316         2514.375173485081         -1.455191522836685e-11    57727.39397982787         
401008.7921971304         2398.471331913031         0                         57727.42522982787         
401023.9014778229         2281.866930284683         0                         57727.45647982787         
401038.2537488072         2164.562561580518         0                         57727.48772982787         
401051.8447420743         2046.558947313788         -1.455191522836685e-11    57727.51897982787         
401064.6701890327         1927.856938710145         0                         57727.55022982787         
