DefaultSC.EMInert.X       DefaultSC.EMInert.Y       DefaultSC.EMInert.Z       DefaultSC.UTCModJulian    
-4059.831646909255        11038.16135603828         -3297.518691103004        57727                     
-4060.23915572585         11580.28744757348         -3532.856671403867        57727.00069444445         
-4060.759250858863        12251.7354611609          -3824.344906819488        57727.00158095954         
-4061.337534942126        12974.9214203288          -4138.306963785872        57727.00256693504         
-4061.983905454942        13758.12148518339         -4478.338289637459        57727.00366934125         
-4062.706547135725        14606.66843337103         -4846.756986996093        57727.00490225861         
-4063.514760891263        15526.54818485411         -5246.165169183218        57727.00628170704         
-4064.41907356377         16524.42268941951         -5679.458969825972        57727.00782584328         
-4065.431292473814        17607.59055580969         -6149.811521291635        57727.0095550663          
-4066.564749265062        18784.14969982805         -6660.74365973343         57727.01149244919         
-4067.834445416661        20063.0368649309          -7216.141178482198        57727.01366400735         
-4069.256094025347        21453.00029209179         -7819.808736676095        57727.01609708191         
-4070.84464486009         22961.27115171565         -8474.892782958415        57727.01881783475         
-4072.619600305353        24598.64947867087         -9186.090505240829        57727.02186037917         
-4074.602937268051        26377.22363737262         -9958.659601158814        57727.02526327121         
-4076.819278051404        28310.39569622918         -10798.42943922984        57727.0290698563          
-4079.296191699102        30413.02384308711         -11711.86306781991        57727.03332885278         
-4082.064442920522        32701.51463601126         -12706.09744642225        57727.03809486121         
-4085.158562409072        35194.17474037629         -13789.09642882101        57727.04342944722         
-4088.617215849479        37911.3758167062          -14969.72260454589        57727.04940190409         
-4092.483502493591        40875.66782691909         -16257.78674311266        57727.05608992357         
-4096.80593630199         44112.41191360154         -17664.32303386668        57727.06358148542         
-4101.638588151985        47649.75637977238         -19201.57892909165        57727.07197534459         
-4107.041819228506        51519.07687151503         -20883.20671917539        57727.08138259644         
-4113.083636237826        55755.84172061723         -22724.63995250731        57727.09192940063         
-4119.839615405805        60399.45741793202         -24743.02666278845        57727.10375730064         
-4127.394704492695        65494.45399461887         -26957.74500079914        57727.11702692483         
-4135.84353155679         71090.63820773046         -29390.47030259506        57727.13191920994         
-4145.292421123613        77244.42415061868         -32065.7540311025         57727.14863978062         
-4155.860258723539        84019.4060763539          -35011.27341522113        57727.16742150424         
-4167.678782383037        91486.64031728006         -38257.95463930532        57727.18852622986         
-4180.896724371901        99727.41832023852         -41841.17922256008        57727.21225366163         
-4195.680246794929        108833.7097028364         -45800.97754886887        57727.23894399001         
-4212.213782870038        118908.9961591133         -50182.39234073147        57727.26898156325         
-4229.30197476253         129228.0223220199         -54670.05172935922        57727.30023156325         
-4246.279483712789        139406.663272558          -59096.88145471388        57727.33148156325         
-4263.150373307844        149465.1261144761         -63471.64058103887        57727.36273156325         
-4279.918488992826        159419.3715994123         -67801.2472618349         57727.39398156325         
-4296.587476099973        169282.2535478677         -72091.27273048363        57727.42523156325         
-4313.160795315938        179064.2945285701         -76346.27759065486        57727.45648156325         
-4329.641736182536        188774.2301576609         -80570.04779201647        57727.48773156325         
-4346.033429063263        198419.4010024874         -84765.76453521762        57727.51898156325         
-4362.338855774002        208006.0410873187         -88936.12934888076        57727.55023156325         
-4378.560859203028        217539.4944218095         -93083.45796120644        57727.58148156325         
-4394.702151995547        227024.3802903265         -97209.75195710899        57727.61273156325         
-4410.765324468944        236464.7213382799         -101316.754306271         57727.64398156325         
-4426.752851891466        245864.0441692695         -105405.9929735528        57727.67523156325         
-4442.667101145391        255225.4593100804         -109478.8155845445        57727.70648156325         
-4458.510336874871        264551.7254702632         -113536.4172822613        57727.73773156325         
-4474.284727203957        273845.3016932174         -117579.8633344376        57727.76898156325         
-4489.992349012964        283108.3900632817         -121610.1076465406        57727.80023156325         
-4505.635192844664        292342.9709685359         -125628.0080474899        57727.83148156325         
-4521.215167502884        301550.8324383771         -129634.339006691         57727.86273156325         
-4536.734104316687        310733.594722826          -133629.8022882423        57727.89398156325         
-4552.193761126324        319892.7310189296         -137615.0359348551        57727.92523156325         
-4567.595826043624        329029.5850534197         -141590.6218889696        57727.95648156325         
