                                                          31 Oct 2024 13:52:21
Satellite-L2Orbit


    X (km)            Y (km)            Z (km)               Time (UTCG)      
--------------    --------------    --------------    ------------------------
 273380.820649    -240917.466569    -162336.304496     5 Dec 2016 00:00:00.000
 273421.826896    -240878.797934    -162324.622597     5 Dec 2016 00:01:00.000
 273781.626922    -240539.056068    -162221.723166     5 Dec 2016 00:09:46.858
 276217.797874    -238217.080717    -161505.935919     5 Dec 2016 01:09:33.393
 284888.234892    -229633.140456    -158676.093601     5 Dec 2016 04:47:05.972
 297561.011055    -216091.238340    -153658.783883     5 Dec 2016 10:20:21.630
 309282.806591    -202332.237917    -147917.285240     5 Dec 2016 15:48:11.798
 319804.228273    -188757.564485    -141654.740467     5 Dec 2016 21:02:34.384
 328996.485616    -175732.813742    -135107.545273     6 Dec 2016 01:56:56.555
 336736.327473    -163723.834520    -128609.439983     6 Dec 2016 06:22:52.944
 343252.093518    -152698.477713    -122249.955162     6 Dec 2016 10:22:59.065
 348739.287562    -142610.254135    -116091.531697     6 Dec 2016 13:59:39.481
 353362.761734    -133406.624807    -110177.640992     6 Dec 2016 17:15:04.182
 357260.904118    -125032.830891    -104537.985657     6 Dec 2016 20:11:09.276
 360552.112813    -117428.279697     -99188.011402     6 Dec 2016 22:49:45.680
 363063.684548    -111227.680310     -94652.882351     7 Dec 2016 00:58:13.330
 365451.137123    -104951.323237     -89891.416664     7 Dec 2016 03:07:29.615
 367289.765300     -99817.647757     -85858.402160     7 Dec 2016 04:52:40.323
 369045.450719     -94627.976766     -81643.434697     7 Dec 2016 06:38:29.069
 370404.216554     -90387.173664     -78086.960260     7 Dec 2016 08:04:33.287
 371708.372278     -86103.297253     -74382.298313     7 Dec 2016 09:31:06.926
 372722.810380     -82605.805921     -71266.534928     7 Dec 2016 10:41:28.505
 373703.851075     -79067.035352     -68022.670455     7 Dec 2016 11:52:20.817
 374471.717112     -76176.951382     -65299.100912     7 Dec 2016 12:49:57.466
 375219.095342     -73251.042949     -62467.380762     7 Dec 2016 13:47:59.778
 375807.931190     -70859.684531     -60092.574449     7 Dec 2016 14:35:10.895
 376384.583340     -68437.690074     -57627.098087     7 Dec 2016 15:22:42.003
 376892.487373     -66233.788842     -55326.542467     7 Dec 2016 16:05:39.424
 377339.575966     -64235.422055     -53189.652544     7 Dec 2016 16:44:19.690
 377734.860781     -62420.744229     -51204.056482     7 Dec 2016 17:19:10.037
 378086.039486     -60769.458670     -49357.316748     7 Dec 2016 17:50:35.628
 378398.503864     -59268.574374     -47643.739210     7 Dec 2016 18:18:53.083
 378678.409305     -57898.565783     -46048.917971     7 Dec 2016 18:44:26.238
 378929.232371     -56650.539353     -44569.547693     7 Dec 2016 19:07:26.793
 379155.288300     -55509.604359     -43194.312981     7 Dec 2016 19:28:12.993
 379360.258254     -54462.345413     -41912.520992     7 Dec 2016 19:47:01.140
 379545.724780     -53504.834059     -40724.296235     7 Dec 2016 20:03:57.174
 379715.021962     -52623.153482     -39616.737045     7 Dec 2016 20:19:17.565
 379869.197516     -51814.421560     -38590.045632     7 Dec 2016 20:33:07.004
 380010.812053     -51067.213209     -37633.067210     7 Dec 2016 20:45:38.878
 380141.662779     -50373.542814     -36738.391962     7 Dec 2016 20:57:02.679
 380262.610136     -49729.994096     -35904.069282     7 Dec 2016 21:07:23.200
 380374.473358     -49133.086874     -35127.739051     7 Dec 2016 21:16:45.299
 380478.369398     -48577.511187     -34404.329597     7 Dec 2016 21:25:15.463
 380576.075642     -48054.216590     -33723.609913     7 Dec 2016 21:33:03.234
 380667.614332     -47563.399574     -33087.170356     7 Dec 2016 21:40:09.569
 380753.118309     -47104.567560     -32495.458325     7 Dec 2016 21:46:36.225
 380833.553542     -46672.672408     -31942.831628     7 Dec 2016 21:52:28.763
 380910.317786     -46260.274690     -31420.580804     7 Dec 2016 21:57:54.235
 380982.468757     -45872.457275     -30935.759614     7 Dec 2016 22:02:49.666
 381050.810816     -45504.886685     -30483.304561     7 Dec 2016 22:07:19.559
 381117.217336     -45147.441029     -30051.311024     7 Dec 2016 22:11:32.068
 381181.025447     -44803.616278     -29644.612414     7 Dec 2016 22:15:25.275
 381241.691459     -44476.269135     -29266.773947     7 Dec 2016 22:18:58.158
 381300.349279     -44159.198558     -28910.763520     7 Dec 2016 22:22:15.611
 381357.393382     -43850.167097     -28574.409286     7 Dec 2016 22:25:19.617
 381411.545085     -43556.017502     -28265.076676     7 Dec 2016 22:28:06.946
 381463.509710     -43272.860032     -27978.229825     7 Dec 2016 22:30:40.818
 381513.703655     -42998.357239     -27711.219564     7 Dec 2016 22:33:03.301
 381562.142413     -42732.360322     -27463.602756     7 Dec 2016 22:35:15.204
 381609.304237     -42472.178447     -27232.607732     7 Dec 2016 22:37:18.515
 381648.558494     -42254.597396     -27048.339395     7 Dec 2016 22:38:57.453
 381693.116622     -42006.352871     -26848.379811     7 Dec 2016 22:40:45.885
 381735.270242     -41770.132003     -26668.571789     7 Dec 2016 22:42:24.891
 381775.279406     -41544.569589     -26506.616285     7 Dec 2016 22:43:55.869
 381817.884895     -41302.782455     -26343.736750     7 Dec 2016 22:45:29.811
 381858.631856     -41069.884901     -26197.425360     7 Dec 2016 22:46:57.093
 381895.679416     -40856.622489     -26072.570625     7 Dec 2016 22:48:14.521
 381932.375193     -40643.878263     -25956.671453     7 Dec 2016 22:49:29.633
 381971.554776     -40414.985415     -25841.532595     7 Dec 2016 22:50:48.354
 382007.919985     -40200.836861     -25742.648626     7 Dec 2016 22:52:00.305
 382047.760341     -39964.260488     -25643.138141     7 Dec 2016 22:53:18.187
 382085.273643     -39739.550133     -25557.837813     7 Dec 2016 22:54:30.891
 382122.473566     -39514.780400     -25481.227625     7 Dec 2016 22:55:42.650
 382160.465357     -39283.175297     -25411.088389     7 Dec 2016 22:56:55.855
 382198.260173     -39050.661555     -25349.308880     7 Dec 2016 22:58:08.861
 382235.925216     -38816.807636     -25295.522035     7 Dec 2016 22:59:22.050
 382275.729451     -38567.310252     -25246.925170     7 Dec 2016 23:00:40.137
 382314.985292     -38318.839611     -25207.071067     7 Dec 2016 23:01:58.158
 382357.087661     -38049.662519     -25172.954828     7 Dec 2016 23:03:23.237
 382392.916048     -37818.390038     -25150.716418     7 Dec 2016 23:04:36.991
 382427.394788     -37593.905842     -25135.004823     7 Dec 2016 23:05:49.306
 382463.719474     -37355.359821     -25124.269543     7 Dec 2016 23:07:07.067
 382497.725505     -37130.142389     -25119.424740     7 Dec 2016 23:08:21.458
 382534.412704     -36885.115656     -25119.612581     7 Dec 2016 23:09:43.574
 382572.580208     -36627.952337     -25125.513178     7 Dec 2016 23:11:11.186
 382607.075437     -36393.570623     -25135.622643     7 Dec 2016 23:12:32.390
 382640.321085     -36165.930352     -25149.459937     7 Dec 2016 23:13:52.552
 382678.438284     -35902.839263     -25170.034064     7 Dec 2016 23:15:26.844
 382715.351597     -35645.946187     -25194.512081     7 Dec 2016 23:17:00.667
 382760.079056     -35331.920627     -25229.832296     7 Dec 2016 23:18:57.763
 382803.821799     -35021.931357     -25270.004545     7 Dec 2016 23:20:55.994
 382844.777512     -34729.150146     -25312.334043     7 Dec 2016 23:22:50.095
 382889.995459     -34403.084870     -25364.011315     7 Dec 2016 23:24:59.961
 382935.579939     -34071.431414     -25420.992321     7 Dec 2016 23:27:15.070
 382984.650788     -33711.159811     -25487.400127     7 Dec 2016 23:29:45.266
 383036.497993     -33326.899585     -25562.816656     7 Dec 2016 23:32:29.357
 383091.479505     -32915.429980     -25648.175361     7 Dec 2016 23:35:29.457
 383147.074701     -32495.270220     -25739.602455     7 Dec 2016 23:38:37.955
 383204.710640     -32055.405637     -25839.290443     7 Dec 2016 23:42:00.152
 383265.367737     -31587.844915     -25949.048637     7 Dec 2016 23:45:40.384
 383329.221615     -31090.570440     -26069.380025     7 Dec 2016 23:49:40.427
 383395.801954     -30566.587455     -26199.479048     7 Dec 2016 23:53:59.628
 383465.440299     -30012.614197     -26339.992901     7 Dec 2016 23:58:40.395
 383538.154485     -29427.753598     -26490.929345     8 Dec 2016 00:03:44.020
 383614.088530     -28810.022883     -26652.513051     8 Dec 2016 00:09:12.395
